Year,Wine ID,User Rating,Note,CreatedAt,Winery,Wine,Rating,num_review,price
2019,1139508,3.7,"3.7 Nose is prunes cherry jam and tobacco. Full bodied with fine tannins and notes of cocoa, coffee and vanilla on the long and savoury finish.",2022-09-13T04:46:55.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.8,"Vino omnipresente en las zonas rurales de Navarra, que me vuelvo a encontrar ahora en Arántzazu.

Coupage de 42% Cabernet Sauvignon, 19% Garnacha, 18% Graciano, 12% Syrah y 9% Merlot, de 14,5% alcohol.
Excelente rcp.
Crianza de 14 meses en barrica de roble francés y americano.
Color rojo picota.
En nariz frutas rojas, especias y madera, buen aroma.
En boca es redondo, rico y equilibrado coupage. Fresco, varios y de taninos maduros",2022-09-10T21:32:39.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.8,"Ótimo vinho acidez taninos, tudo no lugar. O preferido em Pamplona.",2022-08-28T18:35:24.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.0,"Spännande med så många olika druvor. Ett trevligt lunch vin.
",2018-11-03T14:46:03.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.5,Fruta con ligeros tostados. Agradable en nariz y persistente en boca.,2019-08-29T17:51:26.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,2020.4.18,2020-11-08T02:55:10.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.5,Tinto navarro muy agradable de expresión en nariz y en boca. Razonable RCP.,2022-07-04T19:42:45.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.5,"Вино среднее, баланс страдает. Темные ягоды, черноплодная рябина, слива, послевкусие недолгое",2019-10-14T19:34:30.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.5,Perfecto para un culeton en Navarra un caluroso dia de verano😂,2022-08-03T19:11:06.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,2.9,"Muy justo, fruto roja pero con notas bastante verde, de vino muy joven. Poco trabajado en boca.",2022-07-16T13:37:00.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,Vi suau amb gust final de batica a Elizondo,2022-08-04T12:39:33.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.3,"Color cereza picota. Aromas a frutas maduras. Muy goloso, suave en boca. Buena acidez.",2022-07-28T19:28:51.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.1,"Suave , rico , cuerpo agradable.  Muy bien con cabrito ",2022-08-13T13:53:08.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Excellent. Puissant, un régal ",2019-06-24T19:18:23.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.5,"Un gran vino Navarro, fuerte aroma a especias y madera, cuerpo consistente y sabores de frutos cereza ciruela frutos rojos mora @. Es de lo mejor de Navarra. ",2022-09-27T18:00:28.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.6,Joder te fot un patada que rebente. Prou bo.,2022-07-29T12:52:51.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,This is a screaming deal. Dense black fruits. Licorice and serious depth. Had it slightly chilled with a steak at la Manduca in Madrid. Terrific all around.,2018-12-04T21:19:53.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.5,"Joven, bien balanceado, creciendo. Notas de pimienta, taninos poco astringentes",2019-10-03T12:39:47.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.6,"Exelent vi, qualitat - preu, perfecte",2022-08-16T20:32:50.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"De color rojo picota de capa alta. Frutos rojos y especias con toques de barrica. Potente en boca, final largo y persistente ",2021-10-14T21:16:20.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.9,Auch dieser Jahrgang wieder fast perfekt. Heute zu Lamm Filet super! Zumal das Preis Leistung Verhältnis bei so einem Tropfen unschlagbar ist.,2022-05-02T18:39:27.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Great value. 

Thick, full-bodied, energetic. 

Tannic, cask. A bit astringent. Red berries, red plums. Cloves and cinnamon. 

Great for meat and stews. ",2021-10-27T04:26:00.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.0,Muy denso en el paladar,2019-10-14T12:57:56.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Blackcurrant, dark plum, vanilla, cinnamon, star anise, vanilla. Bold intensity, high acidy and long finish. Much-needed after a busy work trip! ",2019-11-12T15:30:39.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,Aldo my opinion is that this one is little less special than 2016. Dark red wine. Hinds of oak plum licorice red fruit cassis pepper smoke. Medium sweetness acidity body tannic. Long finish. ,2021-02-07T19:31:18.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Medium body, excellent fruit base with structure and noticeable tannins ",2019-04-13T20:06:30.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Oak, black currant and cherry",2021-12-10T19:12:10.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"A dense, dark, expressive full bodied wine showing intense ripe cherry, rosemary, thyme and vanilla. 
15% vol is well balanced by good acidity and velvet tannins. Although the balance is good, it is still a heavyweight wine. 
Nice surprise from the Port House At Home Dublin menu. ",2021-03-21T18:44:07.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"外観　とてもしっかりとした
凝縮感　黒の色調　粘性も高い
香り野生　黒スグリ　
ブラックチェリー黒いゴム
ビターチョコ　ココアの甘みも
味わい　ビターチョコ
ブルーベリー
喉越し綺麗で余韻も良い
ペアリング　ジビエ肉
ブルーチーズの鶏肉とかぼちゃの
濃厚なグラタン

",2022-04-19T08:37:05.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"cost efficiency is considerably high. Strongly recommended as a daily wine which has a great “marriage” with typical food and snack such as cheese, nuts and chocolate.",2021-01-21T10:32:23.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Deep red colour and aromas of red fruit, some prunes and tobacco.
Notes are solid with plum, blackcurrant, cassis, jam, oak and vanilla.
Med tannins and plesant fruity aftertaste.",2020-01-02T17:34:47.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Excelent vi negre de la bodega navarra Inurrieta, multivarietal Graciano, Cabernet Sauvignon i Merlot amb criança de 14 mesos. Conrreat a 400 m d’altura, presenta molta fruita vermella i negra i vainilla i tabac. En boca es suau i molt golos, i amb un llarg postgust. Un descobriment!!!",2021-12-14T07:13:35.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Maturity on the nose, deep Rioja. Good palate of mature plums. Good wine with depth and mature fruit.",2013-11-29T18:51:18.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Golosito, fruta roja con ligeros aromas a madera",2021-11-30T17:07:24.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,Me ha sorprendido. Afrutado y redondo.  Enorme RCP!,2018-08-04T20:16:16.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Super preis! Tiefes schönes Rot, in der Nase Vanille und Süsskirsche. Sehr stark im Gaumen, etwas zu süß und der Abgang könnte stärker sein. Toller Alltagswein",2021-02-18T13:23:44.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Первое красное вино из Наварры (Испания), которое мне понравилось.🇷🇺 This is the first wine from Navarra (Spain), that I liked.🇬🇧 Este es el primer vino tinto de Navarra (España), que me ha gustado.🇪🇸3.9 ",2019-11-02T19:46:51.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"A dry red from Navarre, notes of plum, pepper and spice ",2020-02-13T20:00:10.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,Bold but balanced wine from Navarre,2021-01-21T17:01:29.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Very nice wine. Well integrated.
Nice with pepper steak.",2022-04-12T15:20:03.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,Beautiful color. On the nose lots of cherry and plum and also on the mouth. Drink now. Surprising Navarra wine. ,2020-04-20T11:40:37.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Odor médio, algo de manteiga. Amadeirado, algo tânico, manteiga.",2021-10-19T20:59:10.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Приятное, насыщенный вкус и цвет ",2021-12-02T21:20:03.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,Qualité prix imbatable. A recommender pour découverte vin de Navarra,2021-04-28T20:13:51.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,Esta rico. Entra muy suavecito. Lo probamos en pamplona tomando una copita de tardeo,2017-11-10T17:40:54.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Vi potent, amb fusta i suau en boca.",2022-01-06T12:37:12.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.7,"Gerrero
Para diario
Muy bueno con excelente RPC",2022-09-27T22:21:26.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Muy buen vino, agradable",2021-11-30T19:54:12.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,3.9,"Maderita sobre fruta madura, intensidad, amargura final, buen vino",2022-06-23T20:44:01.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
2019,1139508,4.0,"Color: 3*
Aroma: 4*
Sabor: 4*",2022-04-12T21:04:52.000Z,Inurrieta,Cuatrocientos Crianza 2019,3.7,74,8.6
