Year,Wine ID,User Rating,Note,CreatedAt,Winery,Wine,Rating,num_review,price,language
2012,4793,4.5,Inky purple. Very aromatic. Jammy black fruit. Still young for without exotic nose. Moderate acidity and grainy tannin. Good wine but not yet great.,2022-03-17T14:20:16.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Intense, powerful and gentle together, based on Nero d'Avola with Syrah and Petit Verdot, needs to be stored some more years, black berries",2017-09-26T11:24:58.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Milky smooth tannins, fantastic body (like a good Burgundy) and aromas of dark fruits. 
Quit vegetal and earthy. Probably the best Nero d’Avola I had. ",2018-06-15T19:14:27.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Leather and oak, pepper on the nose. Spicy and dry but well balanced tannins, earthy and rich at start and blueberry in the finish and smooth. Great wine you chew while you drink",2019-04-06T01:11:34.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,Rich tobacco notes from this Nero D'Avelo blend. Tannins are firm from French Oak aging   Long finish courtesy of excellent wine making. The black pepper spice wasn't bad either,2017-11-03T21:42:02.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,Intense tobacco and leather notes. Lovely on the palate. Exceptional lingering complex flavors. Oak comes through like a kind old uncle. Then the heat fondles you seductively. Lovely.,2020-05-29T16:20:25.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Italian masterpiece. Rich and smooth, silky and deep. Plays a while in your mouth leaving a lovely aftertaste. Hints of cherry, black pepper and prunes. Medium body and tannins, moderate acidity, fantastic balance. One of the best reds from Italy I have ever tried and definitely the best from Sicily. Must try.",2019-10-22T17:59:15.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Powerful and intense, dark ruby. Lovely nose of cherry, tobacco, blackberry.

Intense on the palate, balsamic, dark cherry, vanilla, earthy notes. Long finish, powerful

Careful, should be decanted, has quite some sediments

A beauty and I am no big fan of Nero d Avola, but this one is top",2020-01-30T16:03:26.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"This wine starts with an inviting and intense bouquet of caramelized cassis, mocha and underbrush aromas.
The dense palate doles out stewed prune, chocolate truffle, licorice and sweet pipe tobacco scents alongside velvety tannins.
Graceful , long lasting finale and overall balance.
This is what separates excellent from good wines!",2019-01-06T07:27:39.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"What a treat! Dark ruby red with purple rim. Amazing aromas of raspberries. Burst of black cherry, ripe raspberry and some licorice. Full bodied and bold. Medium to soft silky tannins. Leather and a loooooong long lasting taste... woah thats long! Worth every penny and amazing how its not  a DOC but an IGT wine. This wine is a serious competitor with blue chip premier wine costing over the €100 mark",2018-03-28T17:00:22.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.0,"A unique Italian blend.  Notes of dark berries, anise, leather, tobacco and spices.  Tannins are very smooth for the age of this wine.",2018-02-09T19:45:34.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,5.0,"Appearance: medium ruby red colour

Bouquet: very attractive and pleasant nose showing aromas of red and black fruits, liquorice 

Palate: full bodied , velvety mouthfeel ; moderate acidity and tannins , rich notes of prunes, black raspberries,
Blackberries and liquorice . Long finish 
",2017-11-02T02:20:01.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,5.0,"2012 Donnafugata Mille e una Notte iconic red wine, mainly Nero d'Avola with some Petit Verdot and Syrah, does not disappoint... if anything it still blows me a way with its silky elegance and overall regal presence. The tannins are shockingly already completely integrated (2012 is a great vintage) with an intermix of winter truffles, ripe blueberries and touch of chicory... only had to let it decant for 1/2 hour and once I checked on it the wine was already singing.",2017-12-02T22:50:30.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,Only reason it wasn’t a five stare is because they didn’t finish building the mansion on the label! A truly special wine!,2017-12-16T04:36:47.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,91 pts. Deep crimson red. Very elegant black cherry blueberry and some herbs. Full body subtle tannins and very long finish,2018-02-15T18:19:29.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Absolutely amazing. Fruity, complex with a red Berry bouquet ",2020-03-16T18:10:08.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Smooth, berries, with a hint of spice...good nero.  Never disappoints...",2021-04-16T14:26:46.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Really nice Nero D’Avola! Really enjoyable! Dark cherries, blueberry and hints of chocolate.",2018-01-03T19:02:31.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,Well rounded excellent with steak Rossini,2020-08-26T19:28:12.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Sicily!! Tiered of barolo,brunelo chianti try this woow!!",2018-05-13T21:49:07.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Tar, black cherry, black pepper, asphalt, spices, 90-91",2019-08-01T16:06:59.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,Outstanding and elegant nose,2017-11-10T18:55:19.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"New house, what a better occasion to open a wonderful bottle like this one...",2018-10-20T18:54:37.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Fantastic. Eyes, nose, balance, finish",2020-04-18T16:49:16.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,4.5,"Dark berries, earth and ashes, leather. Smooth structure. Loooong finish. ",2018-07-14T19:38:10.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
2012,4793,5.0,"Terrific balance of mild tannins and velvety, smooth consistency. Enjoyed with basil-based appetizer; tasted hints of cranberry and plum fruits.",2017-12-01T11:37:33.000Z,Donnafugata,Mille E Una Notte 2012,4.3,1543,41.83,en
